drug_a,drug_b,severity,note
warfarin,ibuprofen,major,"NSAID + warfarin: significantly increased GI/systemic bleeding risk"
warfarin,naproxen,major,"NSAID + warfarin: significantly increased GI/systemic bleeding risk"
warfarin,aspirin,moderate,"Combined antiplatelet/anticoagulant effect increases bleeding risk"
lisinopril,ibuprofen,major,"ACE inhibitor + NSAID: reduced renal perfusion, risk of acute kidney injury (worse with concurrent diuretic - 'triple whammy')"
lisinopril,naproxen,major,"ACE inhibitor + NSAID: risk of acute kidney injury"
lisinopril,potassium,moderate,"ACE inhibitor + potassium supplementation: risk of hyperkalemia"
furosemide,ibuprofen,major,"Diuretic + NSAID: reduced diuretic efficacy and increased nephrotoxicity risk; classic 'triple whammy' with ACE inhibitors"
metformin,contrast,major,"Risk of lactic acidosis with iodinated contrast in renal impairment"
metoprolol,verapamil,major,"Combined beta-blocker and non-dihydropyridine CCB: risk of severe bradycardia/heart block"
simvastatin,clarithromycin,major,"CYP3A4 inhibition increases statin levels, risk of rhabdomyolysis"
atorvastatin,clarithromycin,moderate,"CYP3A4 inhibition increases statin levels, risk of myopathy"
warfarin,amiodarone,major,"Amiodarone potentiates warfarin, increased bleeding risk, requires dose reduction"
sildenafil,nitroglycerin,major,"Severe, potentially fatal hypotension"
tramadol,sertraline,major,"Combined serotonergic drugs: risk of serotonin syndrome"
insulin glargine,sulfonylurea,moderate,"Additive hypoglycemia risk"
digoxin,furosemide,moderate,"Diuretic-induced hypokalemia increases digoxin toxicity risk"
ciprofloxacin,warfarin,moderate,"Fluoroquinolones can potentiate warfarin effect, increased INR"
metformin,alcohol,moderate,"Increased risk of lactic acidosis"
